,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-19 00:00:00,1.55444796918979,2.534221533432473,2.0569673922889566,2.3702972,1.8085487687503368,2.0353806985119176,2.166321700150737,2.955011,1.970640023938325,1.588
2019-02-19 01:00:00,2.0156131618808,2.619749753227245,2.536283831544544,2.5793948,2.2789970272372453,2.3153303165998835,2.451888770846248,2.9074366,2.6854654186557023,0.381
2019-02-19 02:00:00,1.6395465323160312,2.305163930290029,2.1747311199960357,2.0559797,1.916185516996207,1.8642696527257427,1.942554493574624,3.0350626,2.3829871603677892,0.005
2019-02-19 03:00:00,1.2705011359137752,1.9171458202586684,1.741030777070868,1.8314831,1.5632920256537655,1.5744892268571198,1.6480273661874167,3.1168387,2.242703913776324,0.0
2019-02-19 04:00:00,1.3481727998477218,2.3124386479988743,1.9199948541942118,1.8703655,1.7074839036685225,1.6374722286794396,1.8202964833270951,3.2686808,2.3900562684756514,0.273
2019-02-19 05:00:00,1.2085036426196942,2.1995898654430333,1.6109870789407768,1.8433411,1.5082692294727216,1.717342034681935,1.421570641017555,3.2766683,2.1759533076892743,2.215
2019-02-19 06:00:00,2.001737545519916,2.9389126272547017,2.3998281048135652,2.741628,2.241171787768451,2.7353844638571254,2.2402162117021094,3.2414672,2.691655586749164,0.32
2019-02-19 07:00:00,1.4145992499533075,2.290760777765585,1.8590365323540003,2.0578203,1.7686389189901728,2.0809714144504463,1.7074237163612318,3.1045914,2.423206160658874,0.004
2019-02-19 08:00:00,0.9250433519442325,1.7311983731969616,1.4324618228766601,1.8101275,1.3377883508761172,1.5803200217787692,1.2516010541866436,3.0374753,2.2402575090487247,2.668
2019-02-19 09:00:00,2.2938995456417803,3.1823547560022405,2.900210770671748,3.0299459,2.7997541522701983,2.9193659127328693,2.7565753702211166,3.2759268,3.475654134722591,1.47
2019-02-19 10:00:00,2.1468493220201488,3.3584014441194108,2.517273855604911,2.7468197,2.510534929930305,2.779003676330743,2.2822138172921873,3.1972282,3.040057348906135,2.904
2019-02-19 11:00:00,2.941863012157092,3.542603936230005,3.3569680922934904,3.389299,3.2078318117481563,3.361131928860076,3.1116200188617658,3.5459425,3.440083932719836,3.277
2019-02-19 12:00:00,3.2443874411226554,4.163116939379489,3.98748967871039,3.6829283,3.7648037008882804,3.5187312354118365,3.598404575199586,3.5275588,3.7525804571749015,4.446
