Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
13/01/2020;1400 UTC;2,8
13/01/2020;1500 UTC;2,3
13/01/2020;1600 UTC;1,4
13/01/2020;1700 UTC;1,1
13/01/2020;1800 UTC;1,4
13/01/2020;1900 UTC;,6
13/01/2020;2000 UTC;,3
13/01/2020;2100 UTC;,2
13/01/2020;2200 UTC;,6
13/01/2020;2300 UTC;,7
14/01/2020;0000 UTC;0
14/01/2020;0100 UTC;0
14/01/2020;0200 UTC;,8
14/01/2020;0300 UTC;,4
14/01/2020;0400 UTC;,3
14/01/2020;0500 UTC;,7
14/01/2020;0600 UTC;0
14/01/2020;0700 UTC;,7
14/01/2020;0800 UTC;,4
14/01/2020;0900 UTC;,8
14/01/2020;1000 UTC;,1
14/01/2020;1100 UTC;,2
14/01/2020;1200 UTC;,5
14/01/2020;1300 UTC;2,4
14/01/2020;1400 UTC;2,1
14/01/2020;1500 UTC;3,4
14/01/2020;1600 UTC;1,3
14/01/2020;1700 UTC;2,4
14/01/2020;1800 UTC;1
14/01/2020;1900 UTC;2,2
14/01/2020;2000 UTC;1,4
14/01/2020;2100 UTC;1
14/01/2020;2200 UTC;,6
14/01/2020;2300 UTC;0
15/01/2020;0000 UTC;0
15/01/2020;0100 UTC;,9
15/01/2020;0200 UTC;1,4
15/01/2020;0300 UTC;,4
15/01/2020;0400 UTC;,3
15/01/2020;0500 UTC;,6
15/01/2020;0600 UTC;,6
15/01/2020;0700 UTC;1
15/01/2020;0800 UTC;,4
15/01/2020;0900 UTC;,4
15/01/2020;1000 UTC;0
15/01/2020;1100 UTC;1,3
15/01/2020;1200 UTC;2,6
15/01/2020;1300 UTC;3,4
15/01/2020;1400 UTC;2,8
15/01/2020;1500 UTC;3
15/01/2020;1600 UTC;2,4
15/01/2020;1700 UTC;2,2
15/01/2020;1800 UTC;2,4
15/01/2020;1900 UTC;2,5
15/01/2020;2000 UTC;2,3
15/01/2020;2100 UTC;1,2
15/01/2020;2200 UTC;,5
15/01/2020;2300 UTC;,7
16/01/2020;0000 UTC;,8
16/01/2020;0100 UTC;1,2
16/01/2020;0200 UTC;1,6
16/01/2020;0300 UTC;1,5
16/01/2020;0400 UTC;0
16/01/2020;0500 UTC;0
16/01/2020;0600 UTC;1,3
16/01/2020;0700 UTC;1,4
16/01/2020;0800 UTC;,4
16/01/2020;0900 UTC;,7
16/01/2020;1000 UTC;1
16/01/2020;1100 UTC;1,1
16/01/2020;1200 UTC;3,6
16/01/2020;1300 UTC;4,4
16/01/2020;1400 UTC;4,2
16/01/2020;1500 UTC;3,1
16/01/2020;1600 UTC;2,9
16/01/2020;1700 UTC;3
16/01/2020;1800 UTC;2
16/01/2020;1900 UTC;1,5
16/01/2020;2000 UTC;3,2
16/01/2020;2100 UTC;2,3
16/01/2020;2200 UTC;,3
16/01/2020;2300 UTC;0
17/01/2020;0000 UTC;,1
17/01/2020;0100 UTC;1,4
17/01/2020;0200 UTC;1,3
17/01/2020;0300 UTC;1,5
17/01/2020;0400 UTC;,9
17/01/2020;0500 UTC;,5
17/01/2020;0600 UTC;,4
17/01/2020;0700 UTC;0
17/01/2020;0800 UTC;1,4
17/01/2020;0900 UTC;,7
17/01/2020;1000 UTC;,4
17/01/2020;1100 UTC;,8
17/01/2020;1200 UTC;2,9
17/01/2020;1300 UTC;2,2
17/01/2020;1400 UTC;2,4
17/01/2020;1500 UTC;3,1
17/01/2020;1600 UTC;3,3
17/01/2020;1700 UTC;2,7
17/01/2020;1800 UTC;2,8
17/01/2020;1900 UTC;,5
17/01/2020;2000 UTC;2,5
17/01/2020;2100 UTC;1,5
17/01/2020;2200 UTC;,4
17/01/2020;2300 UTC;,7
18/01/2020;0000 UTC;,8
18/01/2020;0100 UTC;0
18/01/2020;0200 UTC;1,2
18/01/2020;0300 UTC;,6
18/01/2020;0400 UTC;,7
18/01/2020;0500 UTC;1
18/01/2020;0600 UTC;1,3
18/01/2020;0700 UTC;1
18/01/2020;0800 UTC;2,5
18/01/2020;0900 UTC;,4
18/01/2020;1000 UTC;1,3
18/01/2020;1100 UTC;2,7
18/01/2020;1200 UTC;4,1
18/01/2020;1300 UTC;2,5
18/01/2020;1400 UTC;2,2
18/01/2020;1500 UTC;3,9
18/01/2020;1600 UTC;1,8
18/01/2020;1700 UTC;2,5
18/01/2020;1800 UTC;1,8
18/01/2020;1900 UTC;1,2
18/01/2020;2000 UTC;1
18/01/2020;2100 UTC;1,7
18/01/2020;2200 UTC;1,3
18/01/2020;2300 UTC;,8
19/01/2020;0000 UTC;,2
19/01/2020;0100 UTC;,3
19/01/2020;0200 UTC;,1
19/01/2020;0300 UTC;,1
19/01/2020;0400 UTC;1,7
19/01/2020;0500 UTC;1,1
19/01/2020;0600 UTC;,1
19/01/2020;0700 UTC;,7
19/01/2020;0800 UTC;,7
19/01/2020;0900 UTC;,1
19/01/2020;1000 UTC;2,2
19/01/2020;1100 UTC;,5
19/01/2020;1200 UTC;,4
19/01/2020;1300 UTC;1,9
19/01/2020;1400 UTC;2,4
19/01/2020;1500 UTC;1,6
19/01/2020;1600 UTC;1,4
19/01/2020;1700 UTC;1,7
19/01/2020;1800 UTC;2
19/01/2020;1900 UTC;4,1
19/01/2020;2000 UTC;2,9
19/01/2020;2100 UTC;3,4
19/01/2020;2200 UTC;2,3
19/01/2020;2300 UTC;1,8
20/01/2020;0000 UTC;1,3
20/01/2020;0100 UTC;,5
20/01/2020;0200 UTC;,9
20/01/2020;0300 UTC;0
20/01/2020;0400 UTC;,5
20/01/2020;0500 UTC;0
20/01/2020;0600 UTC;1,2
20/01/2020;0700 UTC;,5
20/01/2020;0800 UTC;,3
20/01/2020;0900 UTC;,1
20/01/2020;1000 UTC;2,1
20/01/2020;1100 UTC;1,6
20/01/2020;1200 UTC;1,7
20/01/2020;1300 UTC;1,2
20/01/2020;1400 UTC;2,3
20/01/2020;1500 UTC;2,4
20/01/2020;1600 UTC;5,2
20/01/2020;1700 UTC;4,1
20/01/2020;1800 UTC;2,6
20/01/2020;1900 UTC;2,2
20/01/2020;2000 UTC;2,9
20/01/2020;2100 UTC;1,7
20/01/2020;2200 UTC;,6
20/01/2020;2300 UTC;,3
21/01/2020;0000 UTC;,3
21/01/2020;0100 UTC;,3
21/01/2020;0200 UTC;0
21/01/2020;0300 UTC;,7
21/01/2020;0400 UTC;0
21/01/2020;0500 UTC;,5
21/01/2020;0600 UTC;0
21/01/2020;0700 UTC;,3
21/01/2020;0800 UTC;,5
21/01/2020;0900 UTC;,2
21/01/2020;1000 UTC;,5
21/01/2020;1100 UTC;,5
21/01/2020;1200 UTC;1,2
21/01/2020;1300 UTC;2,2
21/01/2020;1400 UTC;3,2
21/01/2020;1500 UTC;2,6
21/01/2020;1600 UTC;2,4
21/01/2020;1700 UTC;2,8
21/01/2020;1800 UTC;1,9
21/01/2020;1900 UTC;2,5
21/01/2020;2000 UTC;2,4
21/01/2020;2100 UTC;1
21/01/2020;2200 UTC;0
21/01/2020;2300 UTC;1,3
22/01/2020;0000 UTC;,9
22/01/2020;0100 UTC;1
22/01/2020;0200 UTC;,4
22/01/2020;0300 UTC;,7
22/01/2020;0400 UTC;,6
22/01/2020;0500 UTC;1
22/01/2020;0600 UTC;,8
22/01/2020;0700 UTC;,9
22/01/2020;0800 UTC;1,7
22/01/2020;0900 UTC;1,9
22/01/2020;1000 UTC;1,6
22/01/2020;1100 UTC;1,6
22/01/2020;1200 UTC;,9
22/01/2020;1300 UTC;1,9
22/01/2020;1400 UTC;2
22/01/2020;1500 UTC;2,6
22/01/2020;1600 UTC;3,4
22/01/2020;1700 UTC;3,5
22/01/2020;1800 UTC;,5
22/01/2020;1900 UTC;2,2
22/01/2020;2000 UTC;1,8
22/01/2020;2100 UTC;2
22/01/2020;2200 UTC;1,6
22/01/2020;2300 UTC;1,6
23/01/2020;0000 UTC;,2
23/01/2020;0100 UTC;,6
23/01/2020;0200 UTC;1,1
23/01/2020;0300 UTC;,9
23/01/2020;0400 UTC;1,3
23/01/2020;0500 UTC;1,6
23/01/2020;0600 UTC;1,1
23/01/2020;0700 UTC;1,3
23/01/2020;0800 UTC;1
23/01/2020;0900 UTC;1,7
23/01/2020;1000 UTC;1,1
23/01/2020;1100 UTC;2,5
23/01/2020;1200 UTC;,5
23/01/2020;1300 UTC;,4
23/01/2020;1400 UTC;1
23/01/2020;1500 UTC;,4
23/01/2020;1600 UTC;,8
23/01/2020;1700 UTC;1,4
23/01/2020;1800 UTC;,5
23/01/2020;1900 UTC;1
23/01/2020;2000 UTC;1
23/01/2020;2100 UTC;1,4
23/01/2020;2200 UTC;,8
23/01/2020;2300 UTC;1
24/01/2020;0000 UTC;0
24/01/2020;0100 UTC;,5
24/01/2020;0200 UTC;,4
24/01/2020;0300 UTC;0
24/01/2020;0400 UTC;,2
24/01/2020;0500 UTC;1,4
24/01/2020;0600 UTC;2
24/01/2020;0700 UTC;,6
24/01/2020;0800 UTC;,3
24/01/2020;0900 UTC;,8
24/01/2020;1000 UTC;1
24/01/2020;1100 UTC;1,2
24/01/2020;1200 UTC;,7
24/01/2020;1300 UTC;,4
24/01/2020;1400 UTC;,5
24/01/2020;1500 UTC;,8
24/01/2020;1600 UTC;2,1
24/01/2020;1700 UTC;2
24/01/2020;1800 UTC;2
24/01/2020;1900 UTC;1,4
24/01/2020;2000 UTC;1,4
24/01/2020;2100 UTC;2
24/01/2020;2200 UTC;1,8
24/01/2020;2300 UTC;2,3
25/01/2020;0000 UTC;1,1
25/01/2020;0100 UTC;0
25/01/2020;0200 UTC;0
25/01/2020;0300 UTC;,5
25/01/2020;0400 UTC;,3
25/01/2020;0500 UTC;,1
25/01/2020;0600 UTC;0
25/01/2020;0700 UTC;0
25/01/2020;0800 UTC;,8
25/01/2020;0900 UTC;,3
25/01/2020;1000 UTC;1,2
25/01/2020;1100 UTC;1,5
25/01/2020;1200 UTC;1,6
25/01/2020;1300 UTC;1,4
25/01/2020;1400 UTC;1,3
25/01/2020;1500 UTC;1,8
25/01/2020;1600 UTC;1,9
25/01/2020;1700 UTC;1,5
25/01/2020;1800 UTC;1,4
25/01/2020;1900 UTC;,6
25/01/2020;2000 UTC;,4
25/01/2020;2100 UTC;,9
25/01/2020;2200 UTC;1,1
25/01/2020;2300 UTC;0
26/01/2020;0000 UTC;0
26/01/2020;0100 UTC;,1
26/01/2020;0200 UTC;1
26/01/2020;0300 UTC;1,7
26/01/2020;0400 UTC;1,1
26/01/2020;0500 UTC;0
26/01/2020;0600 UTC;0
26/01/2020;0700 UTC;0
26/01/2020;0800 UTC;0
26/01/2020;0900 UTC;0
26/01/2020;1000 UTC;0
26/01/2020;1100 UTC;1,9
26/01/2020;1200 UTC;1,6
26/01/2020;1300 UTC;2,6
26/01/2020;1400 UTC;1,7
26/01/2020;1500 UTC;,6
26/01/2020;1600 UTC;1,7
26/01/2020;1700 UTC;4,6
26/01/2020;1800 UTC;4,8
26/01/2020;1900 UTC;4,4
26/01/2020;2000 UTC;2,9
26/01/2020;2100 UTC;1,8
26/01/2020;2200 UTC;1,2
26/01/2020;2300 UTC;1,6
27/01/2020;0000 UTC;1,9
27/01/2020;0100 UTC;,4
27/01/2020;0200 UTC;1,2
27/01/2020;0300 UTC;,8
27/01/2020;0400 UTC;0
27/01/2020;0500 UTC;1,9
27/01/2020;0600 UTC;1,9
27/01/2020;0700 UTC;,5
27/01/2020;0800 UTC;0
27/01/2020;0900 UTC;,5
27/01/2020;1000 UTC;,7
27/01/2020;1100 UTC;,3
27/01/2020;1200 UTC;,7
27/01/2020;1300 UTC;1
27/01/2020;1400 UTC;2,3
27/01/2020;1500 UTC;1,9
27/01/2020;1600 UTC;1,9
27/01/2020;1700 UTC;1,6
27/01/2020;1800 UTC;,2
27/01/2020;1900 UTC;1,1
27/01/2020;2000 UTC;1,1
27/01/2020;2100 UTC;,9
27/01/2020;2200 UTC;,2
27/01/2020;2300 UTC;0
28/01/2020;0000 UTC;,7
28/01/2020;0100 UTC;,7
28/01/2020;0200 UTC;,3
28/01/2020;0300 UTC;1,1
28/01/2020;0400 UTC;1,1
28/01/2020;0500 UTC;1,3
28/01/2020;0600 UTC;0
28/01/2020;0700 UTC;3
28/01/2020;0800 UTC;3,1
28/01/2020;0900 UTC;1,1
28/01/2020;1000 UTC;2,3
28/01/2020;1100 UTC;1
28/01/2020;1200 UTC;1,6
28/01/2020;1300 UTC;2,3
28/01/2020;1400 UTC;1,9
28/01/2020;1500 UTC;2
28/01/2020;1600 UTC;,6
28/01/2020;1700 UTC;1,2
28/01/2020;1800 UTC;1,1
28/01/2020;1900 UTC;1,5
28/01/2020;2000 UTC;1,7
28/01/2020;2100 UTC;1,3
28/01/2020;2200 UTC;,4
28/01/2020;2300 UTC;0
29/01/2020;0000 UTC;,5
29/01/2020;0100 UTC;,5
29/01/2020;0200 UTC;,3
29/01/2020;0300 UTC;0
29/01/2020;0400 UTC;0
29/01/2020;0500 UTC;0
29/01/2020;0600 UTC;,5
29/01/2020;0700 UTC;,2
29/01/2020;0800 UTC;,8
29/01/2020;0900 UTC;,8
29/01/2020;1000 UTC;1,1
29/01/2020;1100 UTC;2,9
29/01/2020;1200 UTC;3,7
29/01/2020;1300 UTC;4,8
29/01/2020;1400 UTC;4,6
29/01/2020;1500 UTC;5,4
29/01/2020;1600 UTC;4
29/01/2020;1700 UTC;3,8
29/01/2020;1800 UTC;4,9
29/01/2020;1900 UTC;4,2
29/01/2020;2000 UTC;3,4
29/01/2020;2100 UTC;2,3
29/01/2020;2200 UTC;1,5
29/01/2020;2300 UTC;1,1
30/01/2020;0000 UTC;1,4
30/01/2020;0100 UTC;0
30/01/2020;0200 UTC;1,4
30/01/2020;0300 UTC;1,4
30/01/2020;0400 UTC;,4
30/01/2020;0500 UTC;0
30/01/2020;0600 UTC;1,1
30/01/2020;0700 UTC;1,1
30/01/2020;0800 UTC;0
30/01/2020;0900 UTC;0
30/01/2020;1000 UTC;,3
30/01/2020;1100 UTC;4,4
30/01/2020;1200 UTC;4,3
30/01/2020;1300 UTC;4,5
30/01/2020;1400 UTC;4,2
30/01/2020;1500 UTC;3,3
30/01/2020;1600 UTC;3,6
30/01/2020;1700 UTC;4
30/01/2020;1800 UTC;3,3
30/01/2020;1900 UTC;3,3
30/01/2020;2000 UTC;3,2
30/01/2020;2100 UTC;1,9
30/01/2020;2200 UTC;1,2
30/01/2020;2300 UTC;1,6
31/01/2020;0000 UTC;,7
31/01/2020;0100 UTC;0
31/01/2020;0200 UTC;,1
31/01/2020;0300 UTC;1,3
31/01/2020;0400 UTC;2
31/01/2020;0500 UTC;,4
31/01/2020;0600 UTC;0
31/01/2020;0700 UTC;,9
31/01/2020;0800 UTC;,9
31/01/2020;0900 UTC;0
31/01/2020;1000 UTC;0
31/01/2020;1100 UTC;1,9
31/01/2020;1200 UTC;2,9
31/01/2020;1300 UTC;2,4
31/01/2020;1400 UTC;2,1
31/01/2020;1500 UTC;1
31/01/2020;1600 UTC;1,1
31/01/2020;1700 UTC;1,6
31/01/2020;1800 UTC;1,8
31/01/2020;1900 UTC;,9
31/01/2020;2000 UTC;1,5
31/01/2020;2100 UTC;1,6
31/01/2020;2200 UTC;1,2
31/01/2020;2300 UTC;,1
01/02/2020;0000 UTC;1,3
01/02/2020;0100 UTC;1,2
01/02/2020;0200 UTC;1,3
01/02/2020;0300 UTC;,2
01/02/2020;0400 UTC;0
01/02/2020;0500 UTC;1,3
01/02/2020;0600 UTC;,5
01/02/2020;0700 UTC;,4
01/02/2020;0800 UTC;,9
01/02/2020;0900 UTC;,6
01/02/2020;1000 UTC;3
01/02/2020;1100 UTC;1,3
01/02/2020;1200 UTC;1,5
01/02/2020;1300 UTC;1,6
01/02/2020;1400 UTC;,9
01/02/2020;1500 UTC;1,9
01/02/2020;1600 UTC;2
01/02/2020;1700 UTC;1,5
