Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
13/01/2020;1500 UTC;4,8
13/01/2020;1600 UTC;5,4
13/01/2020;1700 UTC;5,2
13/01/2020;1800 UTC;4,6
13/01/2020;1900 UTC;4,6
13/01/2020;2000 UTC;4,9
13/01/2020;2100 UTC;4,5
13/01/2020;2200 UTC;3,7
13/01/2020;2300 UTC;3,3
14/01/2020;0000 UTC;2,8
14/01/2020;0100 UTC;2,9
14/01/2020;0200 UTC;3,2
14/01/2020;0300 UTC;1,9
14/01/2020;0400 UTC;2,3
14/01/2020;0500 UTC;1,4
14/01/2020;0600 UTC;1,4
14/01/2020;0700 UTC;,9
14/01/2020;0800 UTC;1,4
14/01/2020;0900 UTC;,8
14/01/2020;1000 UTC;2
14/01/2020;1100 UTC;2,7
14/01/2020;1200 UTC;3,2
14/01/2020;1300 UTC;4
14/01/2020;1400 UTC;4,2
14/01/2020;1500 UTC;3,9
14/01/2020;1600 UTC;4,7
14/01/2020;1700 UTC;4,5
14/01/2020;1800 UTC;5,1
14/01/2020;1900 UTC;4,4
14/01/2020;2000 UTC;4,5
14/01/2020;2100 UTC;4
14/01/2020;2200 UTC;3,1
14/01/2020;2300 UTC;2
15/01/2020;0000 UTC;1,5
15/01/2020;0100 UTC;1,6
15/01/2020;0200 UTC;1,2
15/01/2020;0300 UTC;1,4
15/01/2020;0400 UTC;,4
15/01/2020;0500 UTC;,7
15/01/2020;0600 UTC;,3
15/01/2020;0700 UTC;,9
15/01/2020;0800 UTC;1,3
15/01/2020;0900 UTC;2,5
15/01/2020;1000 UTC;1,8
15/01/2020;1100 UTC;2,9
15/01/2020;1200 UTC;3,4
15/01/2020;1300 UTC;3,5
15/01/2020;1400 UTC;3,8
15/01/2020;1500 UTC;4,3
15/01/2020;1600 UTC;4,6
15/01/2020;1700 UTC;4,5
15/01/2020;1800 UTC;4,8
15/01/2020;1900 UTC;4,5
15/01/2020;2000 UTC;3,9
15/01/2020;2100 UTC;3,5
15/01/2020;2200 UTC;2,9
15/01/2020;2300 UTC;2,7
16/01/2020;0000 UTC;2,7
16/01/2020;0100 UTC;2,2
16/01/2020;0200 UTC;2,3
16/01/2020;0300 UTC;2,1
16/01/2020;0400 UTC;,2
16/01/2020;0500 UTC;,3
16/01/2020;0600 UTC;2,4
16/01/2020;0700 UTC;1,6
16/01/2020;0800 UTC;1,1
16/01/2020;0900 UTC;1,3
16/01/2020;1000 UTC;1,4
16/01/2020;1100 UTC;4,8
16/01/2020;1200 UTC;2,4
16/01/2020;1300 UTC;2,9
16/01/2020;1400 UTC;4,6
16/01/2020;1500 UTC;4,5
16/01/2020;1600 UTC;4,7
16/01/2020;1700 UTC;4,9
16/01/2020;1800 UTC;5,5
16/01/2020;1900 UTC;5,4
16/01/2020;2000 UTC;5,6
16/01/2020;2100 UTC;4,7
16/01/2020;2200 UTC;3,4
16/01/2020;2300 UTC;2,9
17/01/2020;0000 UTC;2,6
17/01/2020;0100 UTC;2,4
17/01/2020;0200 UTC;1,7
17/01/2020;0300 UTC;,9
17/01/2020;0400 UTC;1,2
17/01/2020;0500 UTC;1,2
17/01/2020;0600 UTC;1,6
17/01/2020;0700 UTC;,5
17/01/2020;0800 UTC;,5
17/01/2020;0900 UTC;,9
17/01/2020;1000 UTC;2,7
17/01/2020;1100 UTC;2,5
17/01/2020;1200 UTC;5,2
17/01/2020;1300 UTC;5
17/01/2020;1400 UTC;5,1
17/01/2020;1500 UTC;4,5
17/01/2020;1600 UTC;4,9
17/01/2020;1700 UTC;5,6
17/01/2020;1800 UTC;5,3
17/01/2020;1900 UTC;5
17/01/2020;2000 UTC;5,5
17/01/2020;2100 UTC;4,4
17/01/2020;2200 UTC;3,5
17/01/2020;2300 UTC;3,4
18/01/2020;0000 UTC;2,5
18/01/2020;0100 UTC;2,7
18/01/2020;0200 UTC;1,1
18/01/2020;0300 UTC;1,3
18/01/2020;0400 UTC;1,2
18/01/2020;0500 UTC;1,2
18/01/2020;0600 UTC;,9
18/01/2020;0700 UTC;1
18/01/2020;0800 UTC;1
18/01/2020;0900 UTC;,4
18/01/2020;1000 UTC;2,3
18/01/2020;1100 UTC;3,5
18/01/2020;1200 UTC;3,7
18/01/2020;1300 UTC;4,1
18/01/2020;1400 UTC;4,1
18/01/2020;1500 UTC;4,8
18/01/2020;1600 UTC;4,8
18/01/2020;1700 UTC;4,6
18/01/2020;1800 UTC;4,6
18/01/2020;1900 UTC;4,5
18/01/2020;2000 UTC;4,3
18/01/2020;2100 UTC;3,6
18/01/2020;2200 UTC;3,6
18/01/2020;2300 UTC;3,3
19/01/2020;0000 UTC;2
19/01/2020;0100 UTC;2,6
19/01/2020;0200 UTC;2,4
19/01/2020;0300 UTC;2,1
19/01/2020;0400 UTC;1,5
19/01/2020;0500 UTC;,9
19/01/2020;0600 UTC;1
19/01/2020;0700 UTC;,6
19/01/2020;0800 UTC;,8
19/01/2020;0900 UTC;1
19/01/2020;1000 UTC;1,7
19/01/2020;1100 UTC;2,5
19/01/2020;1200 UTC;3,8
19/01/2020;1300 UTC;2,6
19/01/2020;1400 UTC;4,4
19/01/2020;1500 UTC;4,9
19/01/2020;1600 UTC;3,1
19/01/2020;1700 UTC;5
19/01/2020;1800 UTC;5
19/01/2020;1900 UTC;3,9
19/01/2020;2000 UTC;4,2
19/01/2020;2100 UTC;3,3
19/01/2020;2200 UTC;2,7
19/01/2020;2300 UTC;2
20/01/2020;0000 UTC;2,1
20/01/2020;0100 UTC;1,5
20/01/2020;0200 UTC;1,7
20/01/2020;0300 UTC;1,5
20/01/2020;0400 UTC;,6
20/01/2020;0500 UTC;,3
20/01/2020;0600 UTC;1,2
20/01/2020;0700 UTC;,9
20/01/2020;0800 UTC;,6
20/01/2020;0900 UTC;,9
20/01/2020;1000 UTC;,6
20/01/2020;1100 UTC;1
20/01/2020;1200 UTC;3,3
20/01/2020;1300 UTC;3,9
20/01/2020;1400 UTC;4,2
20/01/2020;1500 UTC;4,9
20/01/2020;1600 UTC;4
20/01/2020;1700 UTC;4,2
20/01/2020;1800 UTC;3,6
20/01/2020;1900 UTC;4,7
20/01/2020;2000 UTC;4,2
20/01/2020;2100 UTC;3,3
20/01/2020;2200 UTC;3,3
20/01/2020;2300 UTC;2,4
21/01/2020;0000 UTC;,9
21/01/2020;0100 UTC;1,4
21/01/2020;0200 UTC;1,2
21/01/2020;0300 UTC;1,9
21/01/2020;0400 UTC;1,4
21/01/2020;0500 UTC;1,5
21/01/2020;0600 UTC;1,9
21/01/2020;0700 UTC;1
21/01/2020;0800 UTC;1,6
21/01/2020;0900 UTC;,8
21/01/2020;1000 UTC;2,6
21/01/2020;1100 UTC;3,7
21/01/2020;1200 UTC;4,3
21/01/2020;1300 UTC;3,5
21/01/2020;1400 UTC;4
21/01/2020;1500 UTC;5,1
21/01/2020;1600 UTC;5,1
21/01/2020;1700 UTC;6,2
21/01/2020;1800 UTC;6,4
21/01/2020;1900 UTC;6
21/01/2020;2000 UTC;6,2
21/01/2020;2100 UTC;6,7
21/01/2020;2200 UTC;5,1
21/01/2020;2300 UTC;5,5
22/01/2020;0000 UTC;3,6
22/01/2020;0100 UTC;3,8
22/01/2020;0200 UTC;3,4
22/01/2020;0300 UTC;4,2
22/01/2020;0400 UTC;3,1
22/01/2020;0500 UTC;2,9
22/01/2020;0600 UTC;2,4
22/01/2020;0700 UTC;2,9
22/01/2020;0800 UTC;3,4
22/01/2020;0900 UTC;3
22/01/2020;1000 UTC;5,3
22/01/2020;1100 UTC;5,8
22/01/2020;1200 UTC;4,5
22/01/2020;1300 UTC;3,7
22/01/2020;1400 UTC;3,8
22/01/2020;1500 UTC;5
22/01/2020;1600 UTC;6
22/01/2020;1700 UTC;6
22/01/2020;1800 UTC;5,6
22/01/2020;1900 UTC;5,7
22/01/2020;2000 UTC;5,4
22/01/2020;2100 UTC;5
22/01/2020;2200 UTC;3,8
22/01/2020;2300 UTC;3,7
23/01/2020;0000 UTC;2,5
23/01/2020;0100 UTC;3,8
23/01/2020;0200 UTC;2,9
23/01/2020;0300 UTC;1,8
23/01/2020;0400 UTC;1,9
23/01/2020;0500 UTC;1,6
23/01/2020;0600 UTC;1,5
23/01/2020;0700 UTC;1,7
23/01/2020;0800 UTC;1,5
23/01/2020;0900 UTC;1,4
23/01/2020;1000 UTC;2,4
23/01/2020;1100 UTC;3,5
23/01/2020;1200 UTC;5,8
23/01/2020;1300 UTC;5,7
23/01/2020;1400 UTC;5,6
23/01/2020;1500 UTC;3,3
23/01/2020;1600 UTC;4,7
23/01/2020;1700 UTC;6,5
23/01/2020;1800 UTC;5,5
23/01/2020;1900 UTC;6
23/01/2020;2000 UTC;5,2
23/01/2020;2100 UTC;4,8
23/01/2020;2200 UTC;3,8
23/01/2020;2300 UTC;3,8
24/01/2020;0000 UTC;2,3
24/01/2020;0100 UTC;1,4
24/01/2020;0200 UTC;1,7
24/01/2020;0300 UTC;2,3
24/01/2020;0400 UTC;,8
24/01/2020;0500 UTC;1,9
24/01/2020;0600 UTC;1,5
24/01/2020;0700 UTC;1,1
24/01/2020;0800 UTC;,9
24/01/2020;0900 UTC;1,6
24/01/2020;1000 UTC;2
24/01/2020;1100 UTC;3,5
24/01/2020;1200 UTC;4,2
24/01/2020;1300 UTC;4
24/01/2020;1400 UTC;5,3
24/01/2020;1500 UTC;4,7
24/01/2020;1600 UTC;5,8
24/01/2020;1700 UTC;6,3
24/01/2020;1800 UTC;5,2
24/01/2020;1900 UTC;5,3
24/01/2020;2000 UTC;4,4
24/01/2020;2100 UTC;4,1
24/01/2020;2200 UTC;3,4
24/01/2020;2300 UTC;2,2
25/01/2020;0000 UTC;1,5
25/01/2020;0100 UTC;1,9
25/01/2020;0200 UTC;1,2
25/01/2020;0300 UTC;2,2
25/01/2020;0400 UTC;,6
25/01/2020;0500 UTC;2,2
25/01/2020;0600 UTC;1,2
25/01/2020;0700 UTC;1,8
25/01/2020;0800 UTC;1,3
25/01/2020;0900 UTC;1,8
25/01/2020;1000 UTC;2,3
25/01/2020;1100 UTC;3
25/01/2020;1200 UTC;3,4
25/01/2020;1300 UTC;3,2
25/01/2020;1400 UTC;3,5
25/01/2020;1500 UTC;4,9
25/01/2020;1600 UTC;5,7
25/01/2020;1700 UTC;5,3
25/01/2020;1800 UTC;4,9
25/01/2020;1900 UTC;4,8
25/01/2020;2000 UTC;4,8
25/01/2020;2100 UTC;4,3
25/01/2020;2200 UTC;3,9
25/01/2020;2300 UTC;3,1
26/01/2020;0000 UTC;2,5
26/01/2020;0100 UTC;3,7
26/01/2020;0200 UTC;2,1
26/01/2020;0300 UTC;2
26/01/2020;0400 UTC;1,4
26/01/2020;0500 UTC;1,6
26/01/2020;0600 UTC;2,3
26/01/2020;0700 UTC;1,7
26/01/2020;0800 UTC;1,3
26/01/2020;0900 UTC;1,7
26/01/2020;1000 UTC;2,9
